Puesto de trabajo,Orden de p,      Cant. Producida,       Valor Est.,     Cant. Producida,    Valor Est. Producida,     Cant. Constrastada,       Valor Est. Contrastada,merma rec.,    Valor Est. Merma,c.costo,total producido,merma no recuperada
PA615-03,13348741,6668550.0,33500327.78,55188,281528.89,6812955.15,32656878.49,146398.432,316089.65,ASVC-PA615,6723738.0,-57181.28199999966
PA615-03,13348742,1838781.0,9304912.26,0,0.0,1904189.494,9195273.91,52648.941,131616.35,ASVC-PA615,1838781.0,12759.55299999984
PA615-03,13348745,689850.0,3504382.82,41391,207933.07,752028.306,3645780.57,15461.359,32146.02,ASVC-PA615,731241.0,5325.946999999927
PA615-03,13348749,3282552.0,16592972.14,0,0.0,3423443.428,16513527.18,69406.275,144303.85,ASVC-PA615,3282552.0,71485.15299999993
PA615-03,13348752,4557833.0,23112087.48,65513,332206.6,4816566.706,23127323.02,137689.362,316675.73,ASVC-PA615,4623346.0,55531.34400000051
PA615-03,13348753,10180404.0,51229320.04,98280,494559.7,10772511.164,51725505.08,236373.183,521030.03,ASVC-PA615,10278684.0,257453.9810000006
PA615-03,13363891,3974680.0,20003650.27,94047,473316.92,4221682.12,20273404.1,85712.492,178206.38,ASVC-PA615,4068727.0,67242.62800000003
PA615-03,13363892,8930259.0,45279092.22,0,0.0,9262884.784,44819394.3,228505.098,538932.89,ASVC-PA615,8930259.0,104120.68600000069
PA615-03,13363897,87381.0,441578.14,0,0.0,90028.54,434143.73,1847.584,3841.35,ASVC-PA615,87381.0,799.955999999991
PA615-03,13363898,462966.0,2361714.57,0,0.0,475695.071,2315978.54,9788.953,20352.39,ASVC-PA615,462966.0,2940.1180000000168
PA615-03,13363899,366387.0,1841208.25,165564,844586.68,586980.76,2814561.0,11247.57,23385.05,ASVC-PA615,531951.0,43782.19000000006
PA615-03,13363900,581007.0,2924074.6,0,0.0,596961.695,2866735.41,12284.812,25541.59,ASVC-PA615,581007.0,3669.8829999999143
PA615-03,13363901,349524.0,1747371.85,0,0.0,359114.16,1712884.76,7390.335,15365.37,ASVC-PA615,349524.0,2199.8249999999534
PA615-03,13365965,1247382.0,6376991.0,0,0.0,1308771.735,6385916.11,52303.532,150460.04,ASVC-PA615,1247382.0,9086.203000000212
PA615-03,13365967,314265.0,1603823.15,0,0.0,325778.336,1586768.55,9238.606,23381.1,ASVC-PA615,314265.0,2274.7299999999814
PA615-03,13365970,3065780.0,15427464.8,0,0.0,3244817.674,15580381.43,65118.237,135388.51,ASVC-PA615,3065780.0,113919.43699999992
PA615-03,13365971,770112.0,3905122.44,44121,223730.97,841510.29,4040612.64,21102.478,44198.91,ASVC-PA615,814233.0,6174.8120000000345
PA615-03,13365972,645270.0,3247095.43,28770,144774.96,692748.803,3326316.52,14251.901,29631.38,ASVC-PA615,674040.0,4456.902000000002
PA615-03,13365991,5155479.0,27510873.26,0,0.0,5307869.565,27063924.54,113703.689,243958.86,ASVC-PA615,5155479.0,38686.876000000164
PA615-03,13365993,2230515.0,11262561.69,199290,1015482.19,2528618.171,12183514.5,51375.799,106816.38,ASVC-PA615,2429805.0,47437.371999999974
PA615-03,13365996,7605213.0,38217488.23,0,0.0,8081957.239,38771088.51,293864.797,825048.95,ASVC-PA615,7605213.0,182879.4419999998
